epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,206.015,0.60163,3.12465,1.0504,0.92775,0.84487,0.9437,0.86827,0.4046,0.57682,0.7957,0.000207006,0.000207006,0.000207006
2,401.841,0.52425,0.92139,0.96426,0.83525,0.77175,0.8722,0.76971,0.454,0.9573,0.82898,0.000401633,0.000401633,0.000401633
3,589.885,0.53932,0.79923,0.97046,0.71466,0.64301,0.74166,0.65891,0.45664,1.31115,0.83492,0.000582511,0.000582511,0.000582511
4,779.144,0.52932,0.73245,0.96341,0.97154,0.94996,0.98906,0.90127,0.42157,0.41368,0.80593,0.000563125,0.000563125,0.000563125
5,970.655,0.50087,0.62717,0.95087,0.93811,0.93766,0.97369,0.92705,0.31607,0.43296,0.78689,0.0005425,0.0005425,0.0005425
6,1160.4,0.46427,0.54052,0.93194,0.98463,0.9903,0.99255,0.92826,0.37589,0.29538,0.79137,0.000521875,0.000521875,0.000521875
7,1350.63,0.44667,0.51688,0.92817,0.95287,0.94947,0.98264,0.93919,0.33004,0.34568,0.78998,0.00050125,0.00050125,0.00050125
8,1540.11,0.43804,0.48001,0.92379,0.97876,0.98145,0.99326,0.97063,0.25823,0.26408,0.77648,0.000480625,0.000480625,0.000480625
9,1730.12,0.41513,0.45144,0.91952,0.98334,0.99305,0.99391,0.96828,0.25369,0.2206,0.77369,0.00046,0.00046,0.00046
10,1920.02,0.40425,0.42626,0.91801,0.99424,0.99592,0.995,0.97357,0.26121,0.20197,0.7743,0.000439375,0.000439375,0.000439375
11,2108.78,0.38961,0.40896,0.90601,0.99095,0.98866,0.99434,0.97258,0.27205,0.21327,0.775,0.00041875,0.00041875,0.00041875
12,2296.44,0.37911,0.38641,0.90448,0.99105,0.99615,0.99493,0.97227,0.25893,0.20157,0.77477,0.000398125,0.000398125,0.000398125
13,2483.21,0.36569,0.36931,0.90092,0.99155,0.9846,0.99438,0.97289,0.27624,0.21208,0.77905,0.0003775,0.0003775,0.0003775
14,2675.19,0.36095,0.36267,0.89771,0.99596,0.99869,0.995,0.97689,0.24153,0.18408,0.77184,0.000356875,0.000356875,0.000356875
15,2865.11,0.35527,0.34628,0.89845,0.98524,0.99125,0.99379,0.98465,0.18848,0.17484,0.76464,0.00033625,0.00033625,0.00033625
16,3052.21,0.3424,0.33606,0.89073,0.9976,0.99829,0.995,0.98096,0.2341,0.16678,0.76868,0.000315625,0.000315625,0.000315625
17,3239.73,0.33154,0.32037,0.88767,0.99856,0.99922,0.995,0.98495,0.19915,0.15435,0.76527,0.000295,0.000295,0.000295
18,3426.38,0.32506,0.31193,0.88502,0.9983,0.99881,0.99499,0.98669,0.2034,0.15607,0.76705,0.000274375,0.000274375,0.000274375
19,3614.15,0.31827,0.30053,0.88248,0.99733,0.999,0.995,0.98497,0.19738,0.14832,0.76594,0.00025375,0.00025375,0.00025375
20,3801.43,0.31245,0.29604,0.88187,0.99766,0.99834,0.99499,0.98907,0.17278,0.13924,0.76376,0.000233125,0.000233125,0.000233125
21,3989.84,0.21694,0.18861,0.81168,0.99743,0.9984,0.99498,0.99001,0.19075,0.15595,0.7644,0.0002125,0.0002125,0.0002125
22,4172.08,0.20906,0.18045,0.80793,0.99823,0.99799,0.99499,0.9873,0.19983,0.14321,0.76542,0.000191875,0.000191875,0.000191875
23,4351.61,0.20906,0.17897,0.80932,0.99817,1,0.995,0.98947,0.18398,0.14095,0.76391,0.00017125,0.00017125,0.00017125
24,4532.43,0.19847,0.16715,0.80954,0.99778,1,0.995,0.9887,0.19553,0.13886,0.76561,0.000150625,0.000150625,0.000150625
25,4714.1,0.19266,0.1615,0.80359,0.99866,1,0.995,0.98955,0.17957,0.13899,0.76339,0.00013,0.00013,0.00013
26,4894.46,0.18488,0.15306,0.80161,0.9974,1,0.995,0.98962,0.18728,0.13593,0.76342,0.000109375,0.000109375,0.000109375
27,5077.57,0.18067,0.14647,0.80171,0.99904,1,0.995,0.99222,0.14866,0.11804,0.76065,8.875e-05,8.875e-05,8.875e-05
28,5257.57,0.17571,0.14267,0.8011,0.99863,1,0.995,0.99252,0.14882,0.11651,0.76085,6.8125e-05,6.8125e-05,6.8125e-05
29,5440.09,0.16852,0.13575,0.7969,0.99833,1,0.995,0.99167,0.1523,0.11503,0.76084,4.75e-05,4.75e-05,4.75e-05
30,5622.43,0.16576,0.13384,0.80218,0.99884,1,0.995,0.99207,0.15415,0.11358,0.76028,2.6875e-05,2.6875e-05,2.6875e-05
